일별가격,월별가격,공유오피스명,주소 ,좌석타입,재고,최소 수용가능인원,최대 수용가능인원
"11,000",,씨티큐브 목동 원데이 패스,서울특별시 양천구 신정동 1009-6,고정석 ,3,1,1
,"330,000",카페24 성신여대점(1인),서울특별시 성북구 동선동 120,고정석 ,4,1,4
"11,000","275,000",O 코워킹스페이스 송파점,서울특별시 송파구 송파대로 201,고정석 ,17,1,2
,"150,000",삼성중앙역 공유오피스 - 모여라,서울특별시 강남구 삼성로 555,자유석 ,13,1,13
,"880,000",서초LAW,서울특별시 서초구 서초대로 270,고정석 ,5,1,5
,"440,000",무신사 스튜디오 핫 데스크,서울특별시 중구 을지로6가  17-2 ,고정석 ,50,1,50
"10,000","110,000",한승공간 구로 코워킹스페스 1인실,서울특별시 구로구 구로동 197-10,고정석/자유석,10,1,10
"15,000","250,000",[토즈 워크센터 강남2호] 오픈석,서울특별시 강남구 강남대로 320,자유석 ,25,1,1
"15,000","275,000",구로디지털단지 오픈데스크[후이즈],서울특별시 구로구 디지털로34길 55,고정석/자유석,4,1,4
,"200,000",어린이대공원 소호사무실(2호점),서울특별시 광진구 화양동 499-1,고정석 ,25,1,11
,"165,000",글로벌벤처센터 코워킹스페이스,서울특별시 강남구 도곡로 112,자유석 ,10,1,6
,"400,000",온비즈 - 3인실 공유 1인석,서울특별시 강남구 대치동 942-15,고정석 ,3,1,3
,"275,000",비즈액티브 송파센터-공동실,서울특별시 송파구 송파대로 260,고정석 ,8,1,8
,"300,000",여의도 공유사무실,서울특별시 영등포구 여의대방로 394,고정석 ,5,1,1
,"220,000",강북 4호선 수유역 코워킹스페이스,서울특별시 강북구 도봉로 308,고정석 ,1,1,4
,"352,000",CEO SUITE 강남 코워킹,서울특별시 강남구 테헤란로 521,자유석 ,18,1,1
,"440,000",오가닉미디어밸리,서울특별시 서초구 헌릉로 164,고정석/자유석,60,1,40
,"1,100,000",신사역 스터디룸 ,서울특별시 서초구 강남대로 597,고정석 ,100,1,30
,"130,000",루아흐 코워킹스페이스,서울특별시 마포구 큰우물로 76,자유석 ,100,1,30
"45,000","500,000",LOCAL,서울특별시 동작구 장승배기로10길 100,자유석 ,4,1,2
,"418,000",구로공유오피스   구로소호114,서울특별시 구로구 디지털로31길 41,고정석 ,4,1,2
,"132,000",워킹데스크 역삼점 (자유석),서울특별시 강남구 역삼로 215,고정석/자유석,30,1,5
,"220,000",[코워킹작업실]AlterSide,서울특별시 마포구 방울내로 59,고정석 ,5,1,1
,"330,000",당산역 사무실 지정석 1인석,서울특별시 영등포구 당산로 241,고정석 ,10,1,1
,"220,000",소호114 영등포구 독서실,서울특별시 영등포구 양산로 53,고정석/자유석,1,1,1
,"290,000",벤처스페이스 오피스 1인-8인,서울특별시 강남구 강남대로 342,고정석/자유석,8,1,8
,"260,000",[GARAGE교대] 자유석,서울특별시 서초구 서초중앙로18길 31,자유석 ,10,1,10
"55,000","700,000",아이지플래닝,서울특별시 서초구 양재동 244-5,고정석 ,4,1,4
